PartitionKey,RowKey,Timestamp,Value
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_NeedByDate,8/3/2018,Need By Date
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Ordered,8/3/2018,Ordered
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Approved,8/3/2018,Approved
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Remaining,8/3/2018,Remaining
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Split,8/3/2018,Split
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_SplitNumber,8/3/2018,Split Number
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_SplitValue,8/3/2018,Split Value
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Requester,8/3/2018,Requester
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Division,8/3/2018,Division
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Company code,8/3/2018,Company code
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Plant code,8/3/2018,Plant code
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Purchasing Org,8/3/2018,Purchasing Org
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Plant,8/3/2018,Purchasing Plant
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Business Unit,8/3/2018,Business Unit
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Purchasing Group,8/3/2018,Purchasing Group
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Item Category,8/3/2018,Item Category
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Storage Location,8/3/2018,Storage Location
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Account Assignment Category,8/3/2018,Account Assignment Category
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_GL Account,8/3/2018,GL Account
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Cost Center,8/3/2018,Cost Center
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_WBS Element,8/3/2018,WBS Element
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Internal Order,8/3/2018,Internal Order
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Fixed,8/3/2018,Fixed
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Material,8/3/2018,Material
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_NoSublineSelected,8/21/2018,No subline(s) selected
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_AddNewTask,8/21/2018,Add New Subline
